mkt_unique_carrier,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,dest_airport_id,dest,arr_delay,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,year,month,day_of_month,day_of_week,dep_hour_of_day,arr_hour_of_day,origin_state,destination_state,arr_delay_mean_by_mkt_unique_carrier,arr_delay_mean_by_op_unique_carrier,arr_delay_encoded,origin_dest_pair,quarter_Q1,quarter_Q2,quarter_Q3,quarter_Q4,dep_time_of_day_afternoon,dep_time_of_day_evening,dep_time_of_day_morning,dep_time_of_day_night,arr_time_of_day_afternoon,arr_time_of_day_evening,arr_time_of_day_morning,arr_time_of_day_night
8,8,3759,18,2230,3759,12339,IND,13930,ORD,4.882352941176471,74,134.50487698354928,109.21307893970288,1,177,2019,1,23,2,12,12,IN,IL,10.231880437950128,7.3318759936407,1,IND-ORD,1,0,0,0,1,0,0,0,1,0,0,0
0,0,2417,15,3434,2417,13930,ORD,13485,MSN,-4.0,53,55.0,30.0,1,109,2019,11,7,3,16,17,IL,WI,5.328595793064243,5.849722530521643,0,ORD-MSN,0,0,0,1,1,0,0,0,0,1,0,0
8,8,2910,9,687,2910,13930,ORD,11003,CID,30.0,73,93.0,37.0,1,196,2018,2,7,2,10,11,IL,IA,10.231880437950128,14.747020376778167,1,ORD-CID,1,0,0,0,0,0,1,0,0,0,1,0
3,3,1968,7,3784,1968,10693,BNA,10397,ATL,-19.0,72,59.0,38.0,1,214,2018,9,9,6,8,10,TN,GA,2.1440377343780463,-0.3018240950226244,0,BNA-ATL,0,0,1,0,0,0,1,0,0,0,1,0
3,3,1204,7,3745,1204,13198,MCI,10397,ATL,-17.0,119,107.0,90.0,1,692,2019,4,3,2,14,17,MO,GA,2.1440377343780463,-0.3018240950226244,0,MCI-ATL,0,1,0,0,1,0,0,0,0,1,0,0
8,8,2963,12,352,2963,11292,DEN,10693,BNA,-15.0,155,140.0,120.0,1,1014,2019,2,3,6,12,16,CO,TN,10.231880437950128,13.775,0,DEN-BNA,1,0,0,0,1,0,0,0,1,0,0,0
3,3,1843,7,1094,1843,12892,LAX,10693,BNA,-23.0,245,227.0,199.0,1,1797,2019,9,30,0,10,16,CA,TN,2.1440377343780463,-0.3018240950226244,0,LAX-BNA,0,0,1,0,0,0,1,0,1,0,0,0
10,10,353,23,3034,353,10821,BWI,14107,PHX,-11.0,320,289.0,275.0,1,1999,2018,1,25,3,7,10,MD,AZ,2.438349885408711,2.438349885408711,0,BWI-PHX,1,0,0,0,0,0,1,0,0,0,1,0
0,0,543,1,2823,543,11057,CLT,14635,RSW,3.0,121,122.0,86.0,1,600,2018,4,7,5,11,13,NC,FL,5.328595793064243,5.396409761887101,1,CLT-RSW,0,1,0,0,0,0,1,0,1,0,0,0
3,3,658,7,841,658,14057,PDX,14869,SLC,-1.0,114,116.0,89.0,1,630,2018,10,16,1,7,9,OR,UT,2.1440377343780463,-0.3018240950226244,0,PDX-SLC,0,0,0,1,0,0,1,0,0,0,1,0
10,10,1340,23,2494,1340,10423,AUS,12191,HOU,12.0,55,67.0,29.0,1,148,2018,5,17,3,8,9,TX,TX,2.438349885408711,2.438349885408711,1,AUS-HOU,0,1,0,0,0,0,1,0,0,0,1,0
3,3,1615,7,3676,1615,11057,CLT,10397,ATL,-13.0,81,68.0,45.0,1,226,2018,4,16,0,16,17,NC,GA,2.1440377343780463,-0.3018240950226244,0,CLT-ATL,0,1,0,0,1,0,0,0,0,1,0,0
8,8,2927,9,295,2927,11973,GPT,12266,IAH,-21.0,92,87.0,72.0,1,376,2018,9,5,2,16,17,MS,TX,10.231880437950128,14.747020376778167,0,GPT-IAH,0,0,1,0,1,0,0,0,0,1,0,0
0,0,2275,15,2851,2275,11298,DFW,11415,DRT,-3.0,83,85.0,60.0,1,335,2019,9,24,1,20,22,TX,TX,5.328595793064243,5.849722530521643,0,DFW-DRT,0,0,1,0,0,1,0,0,0,1,0,0
8,8,3064,3,494,3064,14457,RAP,11292,DEN,3.0,85,90.0,63.0,1,300,2018,10,9,1,16,18,SD,CO,10.231880437950128,18.070422535211268,1,RAP-DEN,0,0,0,1,1,0,0,0,0,1,0,0
0,0,1969,1,3781,1969,14100,PHL,14492,RDU,-12.0,88,85.0,61.0,1,337,2019,11,3,6,21,23,PA,NC,5.328595793064243,5.396409761887101,0,PHL-RDU,0,0,0,1,0,1,0,0,0,1,0,0
3,3,3445,0,3516,3445,10397,ATL,10208,AGS,-9.0,60,55.0,31.0,1,143,2019,7,13,5,8,9,GA,GA,2.1440377343780463,-0.47032206547777505,0,ATL-AGS,0,0,1,0,0,0,1,0,0,0,1,0
3,3,3424,0,1862,3424,13487,MSP,11042,CLE,-13.0,110,100.0,82.0,1,622,2019,5,8,2,15,18,MN,OH,2.1440377343780463,-0.47032206547777505,0,MSP-CLE,0,1,0,0,1,0,0,0,0,1,0,0
