month,airline_id,unique_carrier,carrier,carrier_name,carrier_group_new,sdomt_gallons,satl_gallons,spac_gallons,slat_gallons,sint_gallons,ts_gallons,tdomt_gallons,tint_gallons,total_gallons,sdomt_cost,satl_cost,spac_cost,slat_cost,sint_cost,ts_cost,tdomt_cost,tint_cost,total_cost,year
7,20195.0,WI,WI,Sky Lease Cargo,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727737.0,727737.0,0,0.0,0.0,0.0,0.0,0,0,1594189.0,1594189,2019
5,20190.0,9S,9S,Southern Air Inc.,2,0.0,2617348.0,2500447.0,0.0,5117795.0,5117795.0,0.0,5117795.0,5117795.0,0,9474799.0,9051618.0,0.0,18526417.0,18526417,0,18526417.0,18526417,2015
1,20397.0,OH,OH,PSA Airlines Inc.,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,2016
7,20436.0,F9,F9,Frontier Airlines Inc.,3,20252343.0,0.0,0.0,2167454.0,2167454.0,22419797.0,20252343.0,2167454.0,22419797.0,38710762,0.0,0.0,4509877.0,4509877.0,43220639,38710762,4509877.0,43220639,2018
4,19930.0,AS,AS,Alaska Airlines Inc.,3,58372355.0,0.0,0.0,1293697.0,1293697.0,59666052.0,58432767.0,1293697.0,59726464.0,133673299,0.0,0.0,3411283.0,3411283.0,137084582,133797164,3411283.0,137208447,2019
4,20408.0,5V,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,1,300687.0,0.0,0.0,0.0,0.0,300687.0,339627.0,0.0,339627.0,818390,0.0,0.0,0.0,0.0,818390,924374,0.0,924374,2018
6,20166.0,GFQ,GFQ,Gulf And Caribbean Cargo,1,0.0,0.0,0.0,0.0,0.0,0.0,212857.0,290573.0,503430.0,0,0.0,0.0,0.0,0.0,0,380258,547223.0,927481,2017
5,20405.0,N8,MRQ,"National Air Cargo Group, Inc. d/b/a Murray Air",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391218.0,391218.0,0,0.0,0.0,0.0,0.0,0,0,1008271.0,1008271,2015
9,20190.0,9S,9S,Southern Air Inc.,2,798113.0,4969202.0,910850.0,0.0,5880052.0,6678165.0,798113.0,5880052.0,6678165.0,1676037,10435324.0,1282785.0,0.0,11718109.0,13394146,1676037,11718109.0,13394146,2017
6,20007.0,5Y,5Y,Atlas Air Inc.,3,0.0,0.0,0.0,0.0,0.0,0.0,15732351.0,31496344.0,47228695.0,0,0.0,0.0,0.0,0.0,0,35076392,69904163.0,104980555,2019
2,20500.0,G7,G7,GoJet Airlines LLC d/b/a United Express,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,2018
11,20310.0,WL,K8,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",1,0.0,0.0,0.0,0.0,0.0,0.0,76627.0,144508.0,221135.0,0,0.0,0.0,0.0,0.0,0,169000,318711.0,487711,2015
12,20287.0,WP,WP,Island Air Hawaii,1,165446.0,0.0,0.0,0.0,0.0,165446.0,165446.0,0.0,165446.0,252375,0.0,0.0,0.0,0.0,252375,252375,0.0,252375,2016
1,21171.0,VX,VX,Virgin America,3,15375472.0,0.0,0.0,176095.0,176095.0,15551567.0,15928312.0,176095.0,16104407.0,24081055,0.0,0.0,314887.0,314887.0,24395942,24994366,314887.0,25309253,2017
